nom,url,preu,stock
Krosmaster Arena: Frigost Tokens Tofus,https://mathom.es/es/krosmaster/35088-krosmaster-arena-frigost-tokens-tofus-3760008420763.html,"22,46 €", En stock 
Krosmaster Arena: Frigost Tokens Timanshot,https://mathom.es/es/krosmaster/35087-krosmaster-arena-frigost-tokens-timanshot-3760008420770.html,"22,46 €", En stock 
Krosmaster Arena: Pack 52 Cartas Foil...,https://mathom.es/es/krosmaster/34678-krosmaster-arena-pack-52-cartas-foil-castellano-3760008420497.html,"4,98 €", En stock 
Krosmaster Arena: Piwata,https://mathom.es/es/krosmaster/36042-krosmaster-arena-piwata-3760008423931.html,"14,97 €", En stock 
Krosmaster Arena: Pack Multiman,https://mathom.es/es/krosmaster/35341-krosmaster-arena-pack-multiman-3760162392791.html,"13,98 €", En stock 
Mitos y Leyendas: Mazo de Inicio (Kit...,https://mathom.es/es/mitos-y-leyendas/38687-mitos-y-leyendas-mazo-de-inicio-kit-basico-para-2-jugadores-7806637009019.html,"1,99 €", En stock 
Mitos y Leyendas: Amos de Xibalba (Mazo...,https://mathom.es/es/mitos-y-leyendas/38688-mitos-y-leyendas-amos-de-xibalba-mazo-avanzado-7806637009002.html,"1,99 €", En stock 
Mitos y Leyendas: Punta de Lanza (Mazo...,https://mathom.es/es/mitos-y-leyendas/38689-mitos-y-leyendas-punta-de-lanza-mazo-avanzado-7806637009002.html,"1,99 €", En stock 
Mitos y Leyendas: Guerrero Jaguar (Mazo...,https://mathom.es/es/mitos-y-leyendas/38690-mitos-y-leyendas-guerrero-jaguar-mazo-experto-7806637008999.html,"1,99 €", En stock 
Mitos y Leyendas: Guerrero Jaguar...,https://mathom.es/es/mitos-y-leyendas/38691-mitos-y-leyendas-guerrero-jaguar-sobre-de-superacion-7806637008982.html,"0,49 €", En stock 
Kharnage: The Dark Rampage,https://mathom.es/es/kharnage/37565-kharnage-the-dark-rampage-8435407611245.html,"8,95 €", En stock 
El Mundo de Águila Roja: Casa...,https://mathom.es/es/el-mundo-de-aguila-roja/38724-el-mundo-de-aguila-roja-casa-real-y-conspiradores-set-de-inicio-para-2-jugadores-promo-8436017220414.html,"4,50 €", En stock 
El Mundo de Águila Roja: El...,https://mathom.es/es/el-mundo-de-aguila-roja/38725-el-mundo-de-aguila-roja-el-clero-y-el-pueblo-set-de-inicio-para-2-jugadores-8436017220421.html,"4,50 €", En stock 
El Mundo de Águila Roja:...,https://mathom.es/es/el-mundo-de-aguila-roja/38726-el-mundo-de-aguila-roja-conspiradores-baraja-de-inicio-8436017220308.html,"2,50 €", En stock 
